analyst_rating,description,export_date,market_cap_bucket,market_capitalization,market_capitalization_currency,price,price_change_pct_1_day,price_currency,price_to_earnings_ratio,relative_volume_1_day,sector,source_file,symbol,volume_1_day
Neutral,"Plug Power, Inc.",2025-12-29,large,2741521362.082125,USD,1.97,-4.830917874396129,USD,,0.7842970714806395,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,PLUG,72185237
Buy,"BigBear.ai, Inc.",2025-12-29,large,2475245360.403141,USD,5.67,-1.0471204188481762,USD,,0.3820279916137354,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BBAI,43408636
Neutral,Opendoor Technologies Inc,2025-12-29,large,5560585108.995008,USD,5.83,-2.995008319467549,USD,,0.7230119993906579,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,OPEN,43400975
Strong buy,"Rigetti Computing, Inc.",2025-12-29,large,7349680125.539321,USD,22.27,-0.4915102770330627,USD,,1.0048340625417378,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,RGTI,33483656
Strong buy,TeraWulf Inc.,2025-12-29,large,4781347124.027234,USD,11.42,-2.8085106382978733,USD,,0.5599856941654866,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,WULF,16389694
Sell,QuantumScape Corporation,2025-12-29,large,6373887550.201466,USD,10.6,-2.9304029304029333,USD,,0.7767739038021978,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,QS,12389457
Buy,Energy Fuels Inc,2025-12-29,large,3575911533.5211744,USD,15.07,2.937158469945353,USD,,1.5510224044076333,Non-energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,UUUU,11591127
Buy,"Eos Energy Enterprises, Inc.",2025-12-29,large,3678514405.257384,USD,11.35,-4.219409282700422,USD,,0.791656707857779,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,EOSE,11081671
Strong buy,Uranium Energy Corp.,2025-12-29,large,5897204430.876329,USD,12.2,-0.0819000819000946,USD,,0.7207053283784564,Non-energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,UEC,9090703
Buy,"Lyft, Inc.",2025-12-29,large,7647617516.537874,USD,19.15,-2.643619725470275,USD,53.09121153313002,0.7581487342450018,Transportation,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,LYFT,8405954
Strong buy,"Riot Platforms, Inc.",2025-12-29,large,4911572825.979912,USD,13.21,-1.711309523809514,USD,39.222090261282666,0.5646004250941976,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,RIOT,7765374
Strong buy,TMC the metals company Inc.,2025-12-29,large,2613269726.346041,USD,6.32,-7.331378299120233,USD,,0.8072162589364847,Non-energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,TMC,6771496
Strong buy,Genius Sports Limited,2025-12-29,large,2770206309.621323,USD,10.94,0.5514705882352824,USD,,2.273440121963655,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,GENI,6369617
Strong buy,"Core Scientific, Inc.",2025-12-29,large,4675724540.104644,USD,15.08,-1.3734466971876984,USD,108.25556353194544,0.4874771202953942,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,CORZ,6288307
Strong buy,MP Materials Corp.,2025-12-29,large,9203579219.036718,USD,51.93,-2.716373173473216,USD,,0.822313239292355,Non-energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,MP,4692972
Buy,Warby Parker Inc.,2025-12-29,large,2809790761.455749,USD,23.0,-4.88006617038875,USD,6052.631578947368,1.0366827581241778,Retail trade,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,WRBY,3794276
Buy,Freddie Mac,2025-12-29,large,6390085359.484671,USD,9.83,-2.7695351137487574,USD,,1.9884896807800576,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,FMCC,3577731
Neutral,"Etsy, Inc.",2025-12-29,large,5585773044.48843,USD,56.59,1.5067264573991093,USD,39.56236017897092,1.160500398884887,Retail trade,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,ETSY,3340820
Neutral,"Park Hotels & Resorts, Inc.",2025-12-29,large,2166897439.0,USD,10.82,-0.1845018450184462,USD,,1.0543775793571022,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,PK,3102426
Neutral,"Rexford Industrial Realty, Inc.",2025-12-29,large,9182042233.0,USD,38.97,-1.1916835699797133,USD,27.466873414152804,1.3908508975832825,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,REXR,3068436
Strong buy,Pony AI Inc. Sponsored ADR,2025-12-29,large,7082889846.036481,USD,14.92,-0.2673796791443911,USD,,0.5688143110750487,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,PONY,2608931
Buy,Frontline Plc,2025-12-29,large,4926644530.434664,USD,22.13,1.467216872994041,USD,22.611627669357308,1.0149273189492212,Transportation,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,FRO,2341728
Strong buy,TAL Education Group Sponsored ADR Class A,2025-12-29,large,6691561782.0,USD,10.99,-0.0909090909090889,USD,37.66278272789582,0.8834511585170899,Commercial services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,TAL,2309716
Sell,Companhia Energetica de Minas Gerais SA Sponsored ADR Pfd,2025-12-29,large,6320889402.66,USD,2.0,-3.3816425120772875,USD,8.126777732629012,0.6050044760706759,Utilities,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,CIG,2039087
Buy,Liberty Global Ltd.,2025-12-29,large,3750465470.21982,USD,11.18,0.7207207207207215,USD,,1.0639965451987787,Communications,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,LBTYA,1948627
Buy,Inter & Co. Inc.,2025-12-29,large,3688887109.8828406,USD,8.39,-0.7100591715976181,USD,17.284713638236507,0.8162117762362007,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,INTR,1936102
Sell,PBF Energy Inc.,2025-12-29,large,3074592413.525048,USD,26.54,1.4913957934990465,USD,,0.6642856099367421,Energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,PBF,1777933
Strong buy,"VNET Group, Inc. Sponsored ADR",2025-12-29,large,2337834967.0,USD,8.64,-0.5753739930954999,USD,,0.4430913717984454,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,VNET,1744479
Neutral,Healthcare Realty Trust Incorporated Class A,2025-12-29,large,5946041139.0,USD,16.94,0.1774098166765295,USD,,0.5060730923973483,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,HR,1683082
Buy,HF Sinclair Corporation,2025-12-29,large,8457939671.121185,USD,45.98,0.2179598953792378,USD,22.12385122455853,0.6117695911306268,Energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,DINO,1657134
Strong buy,Levi Strauss & Co,2025-12-29,large,8242595607.622455,USD,21.09,-0.0947418285172883,USD,18.201432640027612,0.9295660621486228,Consumer non-durables,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,LEVI,1639396
Neutral,Kilroy Realty Corporation,2025-12-29,large,4547700399.0,USD,37.88,-0.4990806409246065,USD,13.972188410608242,1.041278700732306,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,KRC,1488079
Strong buy,Super Group (SGHC) Limited,2025-12-29,large,6007148167.979865,USD,11.98,0.5033557046979908,USD,27.59097190234915,0.7788026958913888,Consumer services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,SGHC,1476711
Strong buy,Millrose Properties Inc Class A,2025-12-29,large,4685642102.0,USD,29.9,-1.6123724909509771,USD,22.89608698981545,0.7391663536459808,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,MRP,1473709
Buy,"Broadstone Net Lease, Inc.",2025-12-29,large,3311280594.0,USD,17.49,-0.057142857142866,USD,37.76722090261282,0.7453353374980799,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BNL,1412996
Buy,Cognex Corporation,2025-12-29,large,6112300864.042683,USD,36.47,-0.2188782489740035,USD,56.32432432432432,0.6466487593333317,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,CGNX,1312677
Strong buy,"Mirion Technologies, Inc.",2025-12-29,large,6032854405.900632,USD,23.77,0.0842105263157876,USD,201.78268251273343,0.6126964464969451,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,MIR,1288896
Buy,CRISPR Therapeutics AG,2025-12-29,large,5143353688.045207,USD,53.97,-2.015250544662308,USD,,0.8260652948456856,Health technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,CRSP,1273539
Buy,"RLX Technology, Inc. Sponsored ADR Class A",2025-12-29,large,2778051394.0,USD,2.29,0.4385964912280803,USD,28.16728167281673,0.7280936094172014,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,RLX,1267247
Strong buy,"Brixmor Property Group, Inc.",2025-12-29,large,8050429927.0,USD,26.36,0.2281368821292727,USD,24.40966756181128,0.4176964120094443,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BRX,1200346
Buy,TransAlta Corporation,2025-12-29,large,3774024270.591743,USD,12.72,-0.9345794392523304,USD,,0.7765513312598665,Utilities,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,TAC,1066803
Buy,Qiagen N.V.,2025-12-29,large,9887949522.609655,USD,45.6,0.5069429138197135,USD,24.59944974915035,0.9085171668101388,Health technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,QGEN,1050432
Strong buy,Kanzhun Ltd. Sponsored ADR,2025-12-29,large,9969174604.50048,USD,20.79,-1.2351543942992946,USD,27.572944297082227,0.4054767414308348,Commercial services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BZ,1039411
Strong buy,Hesai Group Sponsored ADR,2025-12-29,large,3629564503.67616,USD,22.48,-0.1776198934280601,USD,51.66628361296254,0.5673209453277522,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,HSAI,1034281
Neutral,Noble Corporation plc A,2025-12-29,large,4498539411.577745,USD,28.32,0.9985734664764664,USD,20.301075268817204,0.6242574791426552,Industrial services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,NE,1009871
