Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Sector,Analyst Rating
PLUG,"Plug Power, Inc.",2.07,USD,-1.4285714285714404,55119316,0.5705680676815081,2880684882.9999995,USD,,Electronic technology,Neutral
OPEN,Opendoor Technologies Inc,6.01,USD,-4.2993630573248485,47104552,0.7671558963764785,5732266982,USD,,Finance,Neutral
BBAI,"BigBear.ai, Inc.",5.73,USD,-4.97512437810945,41126063,0.34244544009248445,2501438433,USD,,Technology services,Buy
RGTI,"Rigetti Computing, Inc.",22.38,USD,-8.690330477356191,28311070,0.8237265622826243,7385982991,USD,,Electronic technology,Strong buy
APLD,Applied Digital Corporation,24.05,USD,-6.493001555209947,15491933,0.5727275336976582,6716287426,USD,,Technology services,Strong buy
WULF,TeraWulf Inc.,11.75,USD,-4.549147034930955,13397854,0.4431734707369977,4923250000,USD,,Technology services,Strong buy
QS,QuantumScape Corporation,10.92,USD,-2.3255813953488356,10262450,0.615363344338612,6566306797,USD,,Producer manufacturing,Sell
RIOT,"Riot Platforms, Inc.",13.44,USD,-3.448275862068969,8972056,0.5993344610040544,4997088477,USD,39.90498812351544,Technology services,Strong buy
PONY,Pony AI Inc. Sponsored ADR,14.96,USD,-4.59183673469387,6530460,1.5214875997243904,7079035661.57424,USD,,Technology services,Strong buy
LYFT,"Lyft, Inc.",19.67,USD,0.3059663437022044,5288345,0.4411897734844374,7855281282,USD,54.53285278624896,Transportation,Buy
CORZ,"Core Scientific, Inc.",15.29,USD,-1.7983301220295511,4726583,0.3597159790650118,4740837415,USD,109.76310122038764,Technology services,Strong buy
UEC,Uranium Energy Corp.,12.21,USD,-1.4527845036319589,4382057,0.33029287944395863,5902038205,USD,,Non-energy minerals,Strong buy
UUUU,Energy Fuels Inc,14.64,USD,-3.0463576158940335,4169629,0.5204199701037682,3473878225,USD,,Non-energy minerals,Buy
MP,MP Materials Corp.,53.38,USD,-2.1268793546021203,3939914,0.678235610388104,9460563426.000002,USD,,Non-energy minerals,Strong buy
VNET,"VNET Group, Inc. Sponsored ADR",8.69,USD,1.2820512820512755,1898730,0.4836515643436823,2337834967,USD,,Technology services,Strong buy
INTR,Inter & Co. Inc.,8.45,USD,1.0765550239234434,1741233,0.7277996778130511,3715267709,USD,17.408323032550474,Finance,Buy
PK,"Park Hotels & Resorts, Inc.",10.84,USD,-0.27598896044157645,1514848,0.4838464201050917,2166897439,USD,,Finance,Neutral
REXR,"Rexford Industrial Realty, Inc.",39.44,USD,-0.9542943244600767,1481643,0.6368186912552237,9182042233,USD,27.798139272624752,Finance,Neutral
PBF,PBF Energy Inc.,26.15,USD,-1.3951734539969871,1474999,0.5326058257800749,3029411892,USD,,Energy minerals,Sell
FRO,Frontline Plc,21.81,USD,1.7732151189920626,1473498,0.6104478825114709,4855405206,USD,22.28466332890569,Transportation,Buy
HR,Healthcare Realty Trust Incorporated Class A,16.91,USD,0.11841326228537344,1450193,0.4123148714492295,5946041139,USD,,Finance,Neutral
CRSP,CRISPR Therapeutics AG,55.08,USD,-2.874272615059077,1410636,0.9186708540907097,5249136949,USD,,Health technology,Buy
RLX,"RLX Technology, Inc. Sponsored ADR Class A",2.28,USD,0,1335565,0.7852381472291908,2778051394,USD,28.04428044280443,Producer manufacturing,Buy
BNL,"Broadstone Net Lease, Inc.",17.5,USD,0.05717552887365102,1304588,0.6732723587725212,3311280594,USD,37.78881451090477,Finance,Buy
DINO,HF Sinclair Corporation,45.88,USD,-1.014023732470332,1260858,0.4462200252622245,8439544848.000001,USD,22.075734975701295,Energy minerals,Buy
SGHC,Super Group (SGHC) Limited,11.92,USD,0.5059021922428373,1200372,0.5997376661077012,5977062283.999999,USD,27.45278673422386,Consumer services,Strong buy
UGP,Ultrapar Participacoes S.A. Sponsored ADR,3.74,USD,0.26809651474531454,1063524,0.7098790709744908,4112833201.5771003,USD,7.94392523364486,Retail trade,Buy
LEVI,Levi Strauss & Co,21.11,USD,-0.33050047214353295,1040849,0.5689266022485645,8250412199.000001,USD,18.21869336325192,Consumer non-durables,Strong buy
GBTG,"Global Business Travel Group, Inc.",7.79,USD,0.6459948320413413,1035247,0.4041578742635736,4078268479,USD,347.76785714285717,Consumer services,Strong buy
MIR,"Mirion Technologies, Inc.",23.75,USD,-0.9178139340842674,1033154,0.4576926646523217,6027778382,USD,201.61290322580643,Electronic technology,Strong buy
BRX,"Brixmor Property Group, Inc.",26.3,USD,-0.22761760242791623,1000328,0.31152445016990893,8050429927,USD,24.354106861746455,Finance,Strong buy
