Combination,Avg_Monthly_Travelers,Total_Decline_Pct,Avg_Booking_Amount,Strategic_Score
Desktop-Hotel-1-3 days,2084.75,-15.753781950965049,865.61,660.2429677940085
Desktop-Air-1-3 days,1417.6666666666667,-40.774907749077485,2571.68,450.72942404025395
Desktop-Car-1-3 days,1221.1666666666667,-49.343832020997375,550.17,387.047862318135
Mobile-Hotel-1-3 days,924.6666666666666,-8.365019011406844,857.1,314.44573453814365
Desktop-Air-4-7 days,567.1666666666666,-40.257879656160455,6595.22,196.15010816956922
Mobile-Air-1-3 days,509.0833333333333,-39.32203389830509,2659.9,177.71566711978505
Mobile-Car-1-3 days,456.4166666666667,-56.32183908045977,554.19,154.5584725461811
Desktop-Hotel-4-7 days,264.5,-19.81132075471698,2997.1,112.20948449374592
Desktop-Car-4-7 days,298.0833333333333,-56.30252100840336,1059.23,107.19025945160479
Desktop-Air-8-14 days,200.33333333333334,-24.75728155339806,7205.2,91.56749730103697
Mobile-Air-4-7 days,165.5,-31.382978723404253,6556.52,78.18448347390667
Mobile-Hotel-4-7 days,86.91666666666667,2.5974025974025974,2858.2,67.54652588896104
Desktop-Air-15-30 days,76.08333333333333,-6.944444444444445,6360.81,61.1919765083668
Desktop-Car-15-30 days,39.416666666666664,17.857142857142858,3999.48,59.767753913127414
Desktop-Car-8-14 days,58.666666666666664,-5.769230769230769,2071.44,55.64926520543901
Mobile-Air-15-30 days,21.75,5.263157894736842,5970.79,49.40963654285049
Mobile-Air-8-14 days,54.583333333333336,-27.586206896551722,6888.64,46.224390789173434
Mobile-Car-4-7 days,95.33333333333333,-58.55855855855856,1047.41,45.33276087409723
Desktop-Hotel-8-14 days,26.833333333333332,-28.57142857142857,7029.28,37.67582060930736
Desktop-Air-30+ days,46.666666666666664,-55.35714285714286,5547.96,32.8573575127248
